site,site_type,year_estab,years_since_dist,elev_mean,slope_mean,forest_type,mean__chm,max__chm,sd__chm,cv__chm,mean__crr,mean__fhd,mean__veg_height_cv,cv__veg_height_median,mean__veg_height_kurt,sd__crr,sd__vci,mean__vci,mean__groundstorey_capture,mean__understorey_capture,mean__midstorey_capture,mean__upperstorey_capture,sd__groundstorey_capture,sd__understorey_capture,sd__midstorey_capture,sd__upperstorey_capture,mean__canopy_cover_gt1m,sd__canopy_cover_gt1m
NRM_O_19,NRM,1990.0,35.0,599.8467864,5.835121694,NR,23.780319883958942,33.2496,3.748231024051165,0.15818012009242813,0.6241758175179244,2.266996620797083,0.4901193572030563,0.3730477495796455,-0.5806144161386082,0.1171698022322809,0.0927518533675317,0.6379919325188224,0.2694231950060854,0.45037991485729484,0.5948393612327576,0.48231456243511295,0.34656084365795653,0.3058313430929991,0.2643460971242396,0.20733691322057374,0.8911135578989888,0.09920644855516178
NRM_Y_39,NRM,1996.0,29.0,545.8163448,7.344161575,NR,14.03689863958051,25.959600000000002,4.59168295496268,0.3387338832692869,0.5781999480757107,1.9874955029338164,0.5484928298811869,0.5072146190895824,-0.3762652398916141,0.11651867263031532,0.1125776695824551,0.5964156737075463,0.7156218317449916,0.7906948069519968,0.0,0.3039226043260449,0.3117720471220256,0.16893833594458588,0.0,0.22863875902610004,0.8637889143726856,0.11877505547124882
NRM_Y_41,NRM,1999.0,26.0,361.6259372,10.20814353,NR,17.289279954363884,29.019,3.841554230454232,0.22330196129049043,0.631285338953521,2.042674713615857,0.40784807128287665,0.3698232619296956,-0.28339846108773525,0.10413234824302468,0.09005056859335167,0.5911516292118052,0.2722227332944178,0.2184958435436175,0.7814240374508964,0.3711545407535349,0.3356325713669844,0.258886064383395,0.1771318511855789,0.2269999342920086,0.9002407806305464,0.08699668748991464
NRM_Y_69,NRM,1998.0,27.0,361.483742,14.44900357,NR,19.417582791926737,26.736399999999996,3.6705521020275027,0.1908327015361447,0.564199337290064,2.3619236395738907,0.5123767569829297,0.39515786374803963,-0.6935027147969675,0.09866954465258064,0.09397903187404118,0.705930881104356,0.4625157358872823,0.404446460196571,0.6955773910552564,0.41538976799963184,0.3232115414943443,0.21932084812211067,0.13880237035675766,0.20923881018104157,0.8958951773531224,0.07333771892488897
NRO_138,NRO,1970.0,55.0,454.6945061,6.947021303,NR,27.369720658508317,43.769999999999996,7.47034547645381,0.2753859184109943,0.5841905798016056,2.218065677219408,0.5279014535367198,0.5006224364842111,-0.14078075033347578,0.1319194584347247,0.10597900136686333,0.5823494614694162,0.302543323654651,0.18340718081680518,0.6914710667859973,0.346942667185615,0.3195860955002607,0.2146860712301073,0.19677817210823917,0.22915260744507399,0.8478336045375029,0.1096689004067168
NRO_174,NRO,1976.0,49.0,470.8991234,12.24768833,NR,21.7572730242118,35.7046,3.857749577634452,0.1771047915090866,0.6014540231666218,2.196258200076355,0.49196976749779936,0.39173919567523685,-0.7237780653011484,0.10326013622325478,0.0836561688147768,0.6060183453248973,0.47697538194253575,0.3866857274676784,0.7648791863136383,0.4453585030983084,0.3763633107843139,0.3116384570275947,0.1748496641370552,0.20408591495844502,0.9242307777008769,0.06959984017311141
NRO_190,NRO,1966.0,59.0,328.4433109,11.02503029,NR,29.206859570653574,43.4346,6.485603826877286,0.22170472156236332,0.6515379310064586,2.2746272842046196,0.42366062296998397,0.3673856599226661,-0.1424537706240636,0.11022090091253112,0.1055721733957437,0.5966807729273869,0.3579652554903799,0.34233586881259614,0.8438182917883342,0.42951720421805506,0.38308710616315855,0.3431798108272222,0.17258987431667155,0.2394869496436077,0.9516209191038636,0.0585237749409551
NRO_52,NRO,1971.0,54.0,406.7979917,7.956454025,NR,32.00945244928682,52.3,11.851256337537716,0.37609763525125717,0.5864287495178446,1.8816068497941287,0.6217624030058534,0.7209680844596547,0.44794848262705134,0.18445698213643819,0.12721348449104014,0.4705693627668789,0.4480578810505147,0.7792556312539516,0.296612992218821,0.38628388052129664,0.39145134416539246,0.25453148184695695,0.3383925900207022,0.2884473043029613,0.9037996149242982,0.13653204281974582
NRO_O_56,NRO,1962.0,63.0,352.4256306,11.98721611,NR,32.52674053660658,46.099000000000004,7.301614326043025,0.22272678342283428,0.6341915142817387,2.055886074303559,0.526351655074473,0.47308907043621906,0.03884151257711442,0.1460016909695426,0.10600063026027913,0.5312284666801146,0.3781482669547417,0.5902918586148742,0.5691086901545857,0.42292718660475553,0.38691715994362763,0.3150543559302167,0.32072390699753484,0.2558812100334822,0.9273150857679395,0.09341945569571106
NRO_Y_82,NRO,1972.0,53.0,323.2676392,20.17654936,NR,21.571732752077057,45.3626,4.979545309087787,0.23303366109435522,0.5948865804579885,2.176067512152747,0.5359505826564742,0.42369839521257635,-0.7896538057050859,0.11459560213873002,0.0919214277624395,0.5623223995765056,0.44489778903271765,0.45322397961130456,0.6394747389674729,0.4683810918914643,0.36275314407909276,0.3034759225931009,0.2723621201569576,0.2067171553406313,0.8933201870321671,0.12574423528188677
NRY_O_14,NRY,2013.0,12.0,380.0942997,8.68095675,NR,7.848124138503962,19.2144,2.968109531946462,0.3793023049513034,0.49439039241095345,1.7241994764628168,0.6551838041219831,0.6455290893917612,-0.792125113908627,0.11005217003430727,0.13210721957806779,0.5699859618875491,0.6885906939028313,0.5390159594013614,0.3666872086824021,0.0025088597167253744,0.29855152348179026,0.24904825250704218,0.2070085584400183,0.01757815180544156,0.7043922373391066,0.20185635942575883
NRY_O_20,NRY,2013.0,12.0,568.0164767,9.319241912,NR,6.765478765954538,15.7306,2.5764794359295635,0.38025055624414533,0.580246444178201,1.6514053954880061,0.4783379825058239,0.5153829073880634,-0.41086268597633885,0.11759219538338608,0.1198457596230252,0.5834964344487931,0.3476540046433768,0.6704174231352178,0.0,0.1917982250666248,0.3249753992133333,0.19864575765203474,0.0,0.2332297024004523,0.7277153223952147,0.18758735620751094
NRY_O_25,NRY,2011.0,14.0,323.5793655,9.055455876,NR,8.822160175323994,17.1188,2.2397193119127907,0.26157098278072455,0.6483717515148105,1.6930068174088206,0.37293432304168517,0.3757087963439917,-0.1577421361153321,0.09754326511760886,0.10176761045849587,0.5793443628229277,0.29352133197952707,0.8335457933768694,0.0,0.23737893035891391,0.35040592998233755,0.1949423616671701,0.0,0.2362415542900628,0.880973449470081,0.14126303718782968
