site_plot_id,field_groundstorey,field_understorey,field_midstorey,field_upperstorey,groundstorey_rel_density,groundstorey_rel_density_w,groundstorey_capture,groundstorey_capture_w,understorey_rel_density,understorey_rel_density_w,understorey_capture,understorey_capture_w,midstorey_rel_density,midstorey_rel_density_w,midstorey_capture,midstorey_capture_w,upperstorey_rel_density,upperstorey_rel_density_w,upperstorey_capture,upperstorey_capture_w
NRO_174_P4,22.0,17.0,21.0,27.0,3.8114895016299597,3.344743800042578,47.578119779418564,47.704764462241805,7.470596872135668,6.361742427292034,45.150024195723084,44.77006644607071,45.477137578601656,46.035626292742094,74.14911885715169,76.73642728400233,38.96372401367583,40.59318442548759,38.96372401367583,40.59318442548759
NRO_174_P5,16.0,7.0,52.0,19.0,2.3995773217835232,1.9464794348426258,41.23177612181257,41.33466066404121,4.710458375582228,3.7575916642148552,41.133912575907644,40.753518170585004,43.519011086345856,42.3851772788512,80.05564558466082,82.45081691957024,45.595651941792255,48.82650472919758,45.595651941792255,48.82650472919758
NRO_190_P1,9.0,19.0,51.0,14.0,1.7049272631344845,1.3937798607921654,35.36105573096593,35.472628036213585,2.3864077189128996,1.9041570372532783,29.113400622813867,28.5105833281856,56.10356744928146,56.25614290825158,88.37267915962772,90.11910473053572,36.78650412489906,38.05808035742872,36.78650412489906,38.05808035742872
NRO_190_P2,17.0,5.0,52.0,19.0,2.3048533558723774,2.0914449789837155,38.11878908490684,38.3496708959856,2.7494952624829447,2.2216669345790723,30.24234865460044,29.717388630886916,52.282404151291914,52.314541910292135,84.84784252002449,86.34840867278454,39.525348099403914,40.78835597553454,39.525348099403914,40.78835597553455
NRO_190_P3,5.0,9.0,27.0,12.0,1.6349675357477316,1.5338467131939668,34.50218170312367,34.58382348340237,2.6495345094661933,2.261801979892169,35.44015294310833,34.83531921034998,45.544291568488994,45.2605893596724,84.12311410798786,85.02560544470272,47.462234161418394,48.573783197858546,47.462234161418394,48.57378319785855
NRO_190_P4,3.0,23.0,33.0,13.0,1.5777511510886546,1.3726042989548226,35.71347681285478,35.93199534999828,3.3861798488683745,2.8460373326313135,38.11406685218077,37.520647671999754,51.06764244447761,50.74611701610885,84.95936563634069,86.12774037397705,41.04740760080677,42.52604291893771,41.04740760080677,42.526042918937726
NRO_190_P5,8.0,5.0,38.0,19.0,1.7912546268842022,1.6042432135392644,35.28712441333873,35.38430716463461,3.9749460656043567,3.5104399915512,38.25796533359466,37.71495158596804,40.907388424029506,40.14460752692335,79.60614447018635,80.63804122490711,49.93710812249941,51.77475142627295,49.93710812249941,51.77475142627295
NRO_52_P1,25.0,49.0,27.0,24.0,3.0494144271609582,2.9099439566023673,39.78883366093117,39.95469274893955,41.471889426067236,42.83976802065228,86.78611144737792,87.82938778344774,20.716874769784212,20.214794517140007,30.25412170238222,29.77842478415859,31.011333230450905,30.76336479430768,31.011333230450905,30.76336479430768
NRO_52_P2,15.0,40.0,3.0,1.0,4.330215980504989,4.168466108568993,43.117981857597776,43.17952412980704,38.365106189549785,39.41287916431489,82.56541065832272,83.62390156814811,19.04325289381111,18.167104327358047,30.89952412513899,30.408588421746995,34.093854714011854,34.60166555883781,34.093854714011854,34.60166555883781
NRO_52_P3,17.0,48.0,8.0,21.0,2.667091145189467,2.4944446095574566,36.072856084388185,36.14187004612816,31.832203340708116,32.05774900896076,82.89549616343052,83.89824179591423,20.534656961738232,19.93012475385963,37.92770232572661,37.94973943111205,40.99598823209326,42.15544469402704,40.99598823209326,42.15544469402704
