metric,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9
cv__veg_height_q70,-0.04585825064238143,0.1962216551171149,-0.05426075049842278,0.14768683205079755,-0.036830879430760216,-0.10646191498069463,-0.007666249321858349,0.010801331188249332,0.006069296642128641,-0.05815982451589566
cv__veg_height_q80,-0.05012285274751071,0.19171237859738216,-0.04918961606100338,0.17674718099990927,-0.015729844825419167,-0.10943173867405263,-0.004687129811339707,0.006330855538695022,0.03614150667271487,-0.030869252977389426
cv__veg_height_q90,-0.05410115494161811,0.1859180222867768,-0.045253057423141375,0.20356491250553316,0.0032825063341324033,-0.10855731541955756,-0.0020365552258273735,0.0015491998160790913,0.07007785822595632,-0.0034863467867149137
cv__veg_height_sd,-0.04388630044679088,0.16216415057891792,-0.021566232388499067,0.31737640688601504,-0.056782233234602096,-0.06887188619545356,0.004318531397071889,-0.011881432379229203,0.09489400401290227,0.021294070567116012
mean__groundstorey_capture,-0.02152424095022278,0.11017563038910803,-0.18450411268230268,-0.05975181875059463,-0.14708569204896516,0.2644346103294222,-0.23229782616173847,0.058700242659888636,-0.14720389559733435,0.4214392132842852
sd__groundstorey_capture,0.09192092732007551,-0.02478782566593435,-0.14457718957290905,0.10007589853157219,0.1273925128548345,0.45182836775032237,-0.031180737538489513,-0.1166458080523271,-0.2077164447061488,-0.1526325187506583
mean__understorey_capture,0.04835242690005612,0.03386775436014337,-0.2477057653375568,0.06157959451882042,0.0468122094993997,0.4175624498943608,0.15296018644477113,0.34264001616133133,0.4117888323987938,0.06718645633819494
sd__understorey_capture,0.0935707213970573,0.01913384816475978,-0.14847080713202554,0.15915823256201844,-0.0027293435948310494,0.33894693713911506,-0.34920837233494234,0.12926884869989458,0.09035234166109085,-0.3931805174418123
mean__midstorey_capture,0.0994067695294808,-0.0234046752787026,-0.2578600780832245,0.12243066970649848,0.2163814897890278,-0.09457004362379177,-0.22549293235384896,-0.2504715348128446,-0.3414419734928374,-0.012490838546738067
sd__midstorey_capture,0.1184204490228515,0.05051303746189574,-0.1663018051746039,0.07415624423751664,0.20695300083025323,0.005928421826604113,-0.18731051363932189,-0.1853512743050797,-0.27666662506332845,0.038057825878021756
mean__upperstorey_capture,0.03542214820423102,-0.13110226659017776,0.208184911667229,-0.13771644143611494,-0.15007117908287432,-0.13267716049922818,0.13776534397294232,0.1377869121470364,-0.17369388906470837,-0.19586071138208264
sd__upperstorey_capture,0.07589606713512065,0.022888357870948294,0.058533216802963736,-0.12064365164751434,0.42797072873559233,0.06682854400719439,0.35143051509933904,-0.01424583887503653,-0.1909718544019938,-0.4161841755885875
